Site,X,Y
Wonderkop,665907.2979,7412654.236
Wonderkop,665483.5068,7410701.03
Wonderkop,667693.2263,7419409.755
Wonderkop,667914.5663,7411634.883
Wonderkop,666903.0492,7422357.005
Wonderkop,668863.9975,7417695.317
Wonderkop,667786.3686,7415724.052
Zingela,665851.8417,7480092.126
Zingela,664744.0617,7482334.454
Zingela,670043.5199,7468348.855
Zingela,657129.5858,7463647.166
Zingela,665505.7358,7470963.285
Zingela,669880.2228,7473013.336
Zingela,660427.6718,7473465.164
Zingela,661591.9347,7470788.467
Zingela,657404.4852,7472175.952
Zingela,667783.2517,7471404.793
Zingela,661336.1158,7475235.45
Zingela,664104.5782,7473706.266
Zingela,659559.6869,7468220.511
Zingela,667431.4205,7476021.414
Zingela,667769.2073,7473634.854
Zingela,664767.5902,7478905.25
Zingela,668280.0671,7482222.43
Zingela,667181.3097,7468749.172
Zingela,662378.3755,7460727.379
Zingela,666552.572,7465157.044
Zingela,669062.4944,7467133.685
Zingela,664530.7305,7462308.056
Zingela,656726.6798,7465522.525
Zingela,668453.09,7479823.968
Zingela,665044.6224,7477078.346
Zingela,659494.4044,7471270.973
Zingela,670162.8402,7475794.984
Zingela,663039.1215,7463871.264
Zingela,661675.1314,7478605.623
Zingela,662597.872,7469626.323
Zingela,663061.5344,7480251.183
Zingela,669442.2517,7477652.973
Zingela,665314.3502,7469195.749
Zingela,663579.9005,7466740.996
Zingela,666707.6178,7466705.096
Zingela,660954.3412,7463987.442
Zingela,659264.565,7465734.207
Zingela,670943.2299,7480408.489
Zingela,665495.0938,7474843.143
Zingela,663004.2503,7471956.149
